id,name,serving_size,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,source_dataset,source_file,source_group
cream-cheese,cream cheese,dataset serving,51,0.9,0.8,5,0,0.5,0.016,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
neufchatel-cheese,neufchatel cheese,dataset serving,215,7.8,3.1,19.4,0,2.7,0.3,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
requeijao-cremoso-light-catupiry,requeijao cremoso light catupiry,dataset serving,49,0.8,0.9,3.6,0.1,3.4,0,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
ricotta-cheese,ricotta cheese,dataset serving,30,1.5,1.5,2,0,0.091,0.017,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
cream-cheese-low-fat,cream cheese low fat,dataset serving,30,1.2,1.2,2.3,0,0.9,0.046,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
cream-cheese-fat-free,cream cheese fat free,dataset serving,19,2.8,1.4,0.2,0,1,0.1,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
gruyere-cheese,gruyere cheese,dataset serving,116,8.3,0.1,9.1,0,0.1,0.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
cheddar-cheese,cheddar cheese,dataset serving,113,6.4,0.9,9.3,0,0.1,0.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
parmesan-cheese,parmesan cheese,dataset serving,71,6.4,0.6,4.5,0,0.046,0.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
romano-cheese,romano cheese,dataset serving,19,1.6,0.2,1.3,0,0.088,0.008,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
parmesan-cheese-grated,parmesan cheese grated,dataset serving,21,1.4,0.7,1.4,0,0.075,0.043,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
port-salut-cheese,port salut cheese,dataset serving,465,31.4,0.8,37.2,0,0.8,0.7,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
swiss-cheese,swiss cheese,dataset serving,98,6.7,0.4,7.7,0,0,0.057,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
goat-cheese-hard,goat cheese hard,dataset serving,128,8.6,0.6,10.1,0,0.6,0.076,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
gouda-cheese,gouda cheese,dataset serving,100,7,0.6,7.7,0,0.6,0.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
pepper-jack-cheese-lucerne,pepper jack cheese lucerne,dataset serving,75,5,0,6,2.5,0,0,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
caraway-cheese,caraway cheese,dataset serving,106,7.1,0.9,8.3,0,0,0.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
gjetost-cheese,gjetost cheese,dataset serving,1058,21.9,96.8,67,0,0,1.4,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
tilsit-cheese,tilsit cheese,dataset serving,136,9.8,0.8,10.4,0,0,0.3,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
goat-cheese,goat cheese,dataset serving,103,6.1,0.009,8.4,0,0.031,0.1,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
brick-cheese,brick cheese,dataset serving,111,7,0.8,8.9,0,0.2,0.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
asadero-cheese,asadero cheese,dataset serving,402,25.5,3.2,31.9,0,3.2,0.7,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
camembert-cheese,camembert cheese,dataset serving,90,5.9,0.1,7.3,0,0.1,0.3,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
provolone-cheese-reduced-fat,provolone cheese reduced fat,dataset serving,310,27.9,4,19.9,0,0.6,1,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
roquefort-cheese,roquefort cheese,dataset serving,314,18.3,1.7,26,0,0,1.5,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
queso-blanco-cheese,queso blanco cheese,dataset serving,366,24,3,28.7,0,2.1,0.8,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
queso-seco-cheese,queso seco cheese,dataset serving,315,23.8,2,23.6,0,0.5,1.8,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
goat-cheese-soft,goat cheese soft,dataset serving,75,5.2,0,6,0,0.3,0.1,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
mozzarella-cheese,mozzarella cheese,dataset serving,90,6.7,0.7,6.6,0,0,0.1,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
chihuahua-cheese,chihuahua cheese,dataset serving,494,28.5,7.3,39.2,0,7.3,0.8,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
limburger-cheese,limburger cheese,dataset serving,98,6,0.1,8.2,0,0.1,0.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
muenster-cheese,muenster cheese,dataset serving,486,30.9,1.5,39.7,0,1.5,0.8,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
queso-fresco-cheese,queso fresco cheese,dataset serving,365,22.1,3.6,29.1,0,2.8,0.9,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
brie-cheese,brie cheese,dataset serving,100,6.2,0.1,8.3,0,0.1,0.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
pimento-cheese,pimento cheese,dataset serving,525,31,2.4,43.7,0.1,0.9,2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
mexican-cheese,mexican cheese,dataset serving,316,27.7,3.8,21.7,0,0.6,0.9,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
feta-cheese,feta cheese,dataset serving,80,4.3,1.2,6.4,0,0,0.3,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
mozzarella-cheese-fat-free,mozzarella cheese fat free,dataset serving,159,35.8,4,0,2,1.7,0.8,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
provolone-cheese,provolone cheese,dataset serving,463,33.8,2.8,35.1,0,0.7,1.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
anejo-cheese,anejo cheese,dataset serving,492,28.3,6.1,39.6,0,6.1,1.5,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
honey,honey,dataset serving,64,0.08,17.3,0,0.025,17.2,0.011,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
apple-butter,apple butter,dataset serving,35,0.045,8.5,0.063,0.3,7.1,0.003,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
fruit-jam,fruit jam,dataset serving,56,0,13.8,0.095,0.2,9.7,0.052,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
chocolate-hazelnut-spread,chocolate hazelnut spread,dataset serving,100,1,11.5,5.5,1,10,0.099,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
peanut-butter,peanut butter,dataset serving,88,3.3,3.6,7.4,0.9,1,0.085,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
peanut-spread,peanut spread,dataset serving,101,3.8,2.2,8.5,1.2,0.5,0.028,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
chicken-spread,chicken spread,dataset serving,88,10.1,2.3,9.8,0.2,0.3,0.4,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
cheese-spread,cheese spread,dataset serving,708,17,8.4,68.6,0,8.4,1.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
tahini,tahini,dataset serving,86,2.7,3.9,7.2,1.4,0,0.098,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
orange-marmalade,orange marmalade,dataset serving,49,0.014,13.3,0,0.1,12,0.016,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
american-cheese-spread,american cheese spread,dataset serving,46,2.6,1.4,3.4,0,1.2,0.3,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
